Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Spyderco,Mule Team,52100,96.93,1.00,1.45,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.03,0.23,0.03,0.00,0.00,0.00,370,KME,17,Polished,4/18/2019,https://www.youtube.com/watch?v=ZXz-CIv5NhY,,1,KME,1,17
Ontario,Bushcraft Field Kinife,5160,97.52,0.60,0.80,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.04,0.23,0.00,0.00,0.00,0.00,59,Worksharp,20,,2/11/2017,https://www.youtube.com/watch?v=pYeOSKkaJbA,,1,Worksharp,1,20
Erickson Knife Works,Small Fixed Blade,W2,97.48,1.18,0.15,0.00,0.00,0.25,0.10,0.20,0.00,0.00,0.00,0.25,0.00,0.00,0.15,0.25,550,Factory,,,7/22/2019,https://www.youtube.com/watch?v=BnR8X2GCny0,,1,Factory,,
Real Steel,E571,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,71,Worksharp,20,,12/17/2016,https://www.youtube.com/watch?v=SO2maqvQgCA,,1,Worksharp,1,20
Ruike,P831-SF,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,70,Worksharp,20,,10/14/2017,https://www.youtube.com/watch?v=1oKiuh9d1yI,,2,Worksharp,2,20
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,30,Factory,,,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,1,Factory,,
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,88,Worksharp,20,,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,3,Worksharp,3,20
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,105,Tormek,21,V-grind,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,1,Other,1,21
Morakniv,Garberg,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,84,Stones,,Scandivex,12/13/2017,https://www.youtube.com/watch?v=dPykCjsP1Nk,,2,Other,,
Ruike,P801,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,105,Lansky,17,Polished,2/28/2018,https://www.youtube.com/watch?v=WJau5e-ZwPY,,1,Lansky,1,17
Ruike,P801SB,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,15,Tormek,12,,6/16/2018,https://www.youtube.com/watch?v=Tstwjn525jQ,Rolled too quickly,3,Other,1,12
Ruike,P801SB,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,215,Tormek,12,Microbevel,6/16/2018,https://www.youtube.com/watch?v=Tstwjn525jQ,,4,Other,2,12
Ruike,P852,14C28N,84.46,0.62,14.00,0.00,0.00,0.55,0.00,0.08,0.00,0.00,0.03,0.25,0.02,0.00,0.00,0.00,90,Factory,,,11/29/2018,https://www.youtube.com/watch?v=-WP2ti3dkoU&t=7s,,2,Factory,,
Spyderco,Mule Team,B70P,80.93,1.10,14.00,0.00,0.00,0.40,2.00,0.00,0.25,0.00,0.01,0.30,0.01,0.00,0.00,1.00,450,KME,17,Polished,6/8/2019,https://www.youtube.com/watch?v=4uczlhcAYWE,,1,KME,1,17
Spyderco,Mule Team,B75P,78.30,1.15,14.50,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,1.25,325,KME,17,Polished,6/8/2019,https://www.youtube.com/watch?v=4uczlhcAYWE,,1,KME,1,17
Benchmade,Griptillian,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,351,Worksharp,20,,8/16/2017,https://www.youtube.com/watch?v=2v6NbEed7rA,,1,Worksharp,1,20
ZT,0470,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,150,Factory,,,12/5/2018,https://www.youtube.com/watch?v=QJF4simAb3M,,1,Factory,,
ZT,0470,CPM 20CV,71.90,1.90,20.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.60,4.00,375,KME,17,1500 grit + 3000 grit strop,12/5/2018,https://www.youtube.com/watch?v=QJF4simAb3M,,1,KME,1,17
Leatherman,Skeletool CX,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,124,Worksharp,20,,12/23/2016,https://www.youtube.com/watch?v=MzBR1jnYURs,,1,Worksharp,1,20
Leatherman,Charge Plus,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,150,Tormek,21,,6/27/2018,https://www.youtube.com/watch?v=DLWil_ECChU,,1,Other,1,21
Ontario,SK-5,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,100,Factory,,,10/31/2018,https://www.youtube.com/watch?v=dtdZJYDUVPk,,1,Factory,,
Emerson,A100,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,136,Factory,25,,2/27/2019,https://www.youtube.com/watch?v=GxUlvisym08,Chisel grind edge,2,Factory,1,25
Emerson,A100,154 CM,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,225,KME,25,Polished,2/27/2019,https://www.youtube.com/watch?v=GxUlvisym08,Chisel grind edge,1,KME,2,25
Bark River,MKB-9 FOBOS Design,CPM 154,80.15,1.05,14.00,0.00,0.00,0.50,4.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,186,Factory,,,11/15/2018,https://www.youtube.com/watch?v=C1SIxuq0Tzw,,1,Factory,,
Spyderco,Stretch 2,V-Toku 2,96.09,1.05,0.35,0.00,0.00,0.40,0.00,0.25,0.00,0.00,0.03,0.35,0.03,0.00,1.25,0.20,190,Factory,,,3/18/2019,https://www.youtube.com/watch?v=H7Z0Grez_OU,,1,Factory,,
